Datetime,Task,Tokens,Time (s),Tokens/sec,ROUGE-1,ROUGE-L
2025-04-11 00:56:57,Embedding,2016,2.48,812.84,,
2025-04-11 00:56:58,Embedding,1179,1.08,1088.06,,
2025-04-11 00:57:02,Embedding,4177,3.54,1179.17,,
2025-04-11 00:57:38,Embedding,26668,35.68,747.43,,
2025-04-11 00:57:59,Embedding,13762,21.94,627.37,,
2025-04-11 00:59:36,Embedding,60370,96.76,623.89,,
2025-04-11 00:59:39,Embedding,3543,2.53,1401.66,,
2025-04-11 00:59:42,Embedding,1647,2.88,571.63,,
2025-04-11 01:01:16,Embedding,57873,94.33,613.54,,
2025-04-11 01:01:34,Embedding,10124,18.22,555.51,,
2025-04-11 12:11:03,Translation,2016,0.97,2068.68,,
2025-04-11 12:11:03,Translation,1179,0.01,85910.33,,
2025-04-11 12:11:03,Translation,4177,0.03,136270.43,,
2025-04-11 12:11:03,Translation,26668,0.34,79303.16,,
2025-04-11 12:11:03,Translation,13762,0.2,69235.53,,
2025-04-11 12:11:04,Translation,60370,0.86,70001.41,,
2025-04-11 12:11:04,Translation,3543,0.08,46735.58,,
2025-04-11 12:11:04,Translation,1647,0.03,47361.26,,
2025-04-11 12:11:05,Translation,57873,0.82,70182.23,,
2025-04-11 12:11:05,Translation,10124,0.12,85973.25,,
2025-04-11 12:36:06,Summarization,1983,31.09,63.78,,
2025-04-11 12:36:06,Summarization,0,0.03,0.0,,
2025-04-11 12:36:06,Summarization,0,0.03,0.0,,
2025-04-11 12:46:16,Summarization,26668,609.81,43.73,,
2025-04-11 12:54:50,Summarization,13588,513.99,26.44,,
2025-04-11 14:17:52,Summarization,60153,4981.76,12.07,,
2025-04-11 14:17:55,Summarization,0,0.67,0.0,,
2025-04-11 15:13:36,Summarization,1647,3340.67,0.49,,
2025-04-11 15:57:02,Summarization,56410,2606.18,21.64,,
2025-04-11 16:05:34,Summarization,10068,511.33,19.69,,
2025-04-14 15:57:03,RAG Q&A,2140,284.89,7.51,,
2025-04-14 15:58:00,RAG Q&A,54,2.85,18.92,,
2025-04-14 16:02:20,RAG Q&A,2080,246.47,8.44,,
2025-04-14 23:11:12,Embedding,1929,1.9,1013.62,,
2025-04-14 23:11:13,Embedding,1079,1.42,759.72,,
2025-04-14 23:11:21,Embedding,3898,8.47,460.1,,
2025-04-14 23:11:56,Embedding,26321,34.72,758.19,,
2025-04-14 23:12:18,Embedding,13773,21.71,634.53,,
2025-04-14 23:13:53,Embedding,58126,95.07,611.4,,
2025-04-14 23:13:58,Embedding,3197,4.64,689.01,,
2025-04-14 23:14:01,Embedding,1581,3.01,525.59,,
2025-04-14 23:15:31,Embedding,56340,90.01,625.93,,
2025-04-14 23:15:49,Embedding,10074,17.98,560.44,,
2025-04-15 00:06:10,Embedding,1929,2.56,754.65,,
2025-04-15 00:06:15,Embedding,1552,4.4,352.78,,
2025-04-15 00:06:34,Embedding,5288,18.72,282.54,,
2025-04-15 00:07:09,Embedding,26321,35.77,735.84,,
2025-04-15 00:07:29,Embedding,13773,20.12,684.55,,
2025-04-15 00:08:59,Embedding,58126,89.75,647.63,,
2025-04-15 00:09:11,Embedding,4501,11.6,387.87,,
2025-04-15 00:09:13,Embedding,1581,2.57,614.84,,
2025-04-15 00:10:40,Embedding,56340,86.57,650.8,,
2025-04-15 00:10:59,Embedding,10074,18.44,546.29,,
2025-04-15 00:26:47,Embedding,1929,3.87,497.93,,
2025-04-15 00:26:55,Embedding,1552,7.27,213.36,,
2025-04-15 00:27:17,Embedding,5288,22.24,237.75,,
2025-04-15 00:27:53,Embedding,26321,35.97,731.66,,
2025-04-15 00:28:14,Embedding,13773,20.91,658.54,,
2025-04-15 00:29:43,Embedding,58126,89.1,652.36,,
2025-04-15 00:29:55,Embedding,4501,11.76,382.59,,
2025-04-15 00:29:55,Embedding,53,0.17,309.48,,
2025-04-15 00:29:58,Embedding,1581,2.59,609.57,,
2025-04-15 00:31:25,Embedding,56340,87.02,647.47,,
2025-04-15 00:31:42,Embedding,10074,17.21,585.32,,
2025-04-15 00:44:41,Translation,1929,0.62,3106.15,,
2025-04-15 00:44:41,Translation,1552,0.01,239868.81,,
2025-04-15 00:44:41,Translation,5288,0.01,402948.23,,
2025-04-15 00:44:41,Translation,26321,0.23,116553.46,,
2025-04-15 00:44:41,Translation,13773,0.12,114949.82,,
2025-04-15 00:44:42,Translation,58126,0.46,125087.15,,
2025-04-15 00:44:42,Translation,4501,0.01,478483.39,,
2025-04-15 00:44:42,Translation,53,0.02,2268.0,,
2025-04-15 00:44:42,Translation,1581,0.02,82007.33,,
2025-04-15 00:44:42,Translation,56340,0.56,100461.05,,
2025-04-15 00:44:42,Translation,10074,0.1,97718.13,,
2025-04-15 00:46:13,Summarization,1929,40.15,48.05,,
2025-04-15 00:46:13,Summarization,0,0.03,0.0,,
2025-04-15 00:46:19,Summarization,179,6.16,29.07,,
2025-04-15 00:54:14,Summarization,26321,474.59,55.46,,
2025-04-15 00:58:40,Summarization,13773,266.13,51.75,,
2025-04-15 01:20:07,Summarization,57601,1286.86,44.76,,
2025-04-15 01:20:08,Summarization,0,0.04,0.0,,
2025-04-15 01:20:08,Summarization,0,0.0,0.0,,
2025-04-15 01:20:45,Summarization,1581,37.1,42.61,,
2025-04-15 01:39:19,Summarization,55461,1114.61,49.76,,
2025-04-15 01:43:13,Summarization,10027,233.32,42.98,,
2025-04-15 07:58:52,Embedding,1929,2.74,704.91,,
2025-04-15 07:58:56,Embedding,1552,4.2,369.56,,
2025-04-15 07:59:18,Embedding,13773,21.77,632.72,,
2025-04-15 07:59:18,Embedding,53,0.18,290.07,,
2025-04-15 08:08:27,Translation,1929,0.32,6101.48,,
2025-04-15 08:08:27,Translation,1552,0.01,129383.84,,
2025-04-15 08:08:27,Translation,13773,0.19,72757.87,,
2025-04-15 08:08:27,Translation,53,0.02,2446.47,,
2025-04-15 08:18:00,Summarization,1929,44.95,42.92,,
2025-04-15 08:18:00,Summarization,0,0.04,0.0,,
2025-04-15 08:23:02,Summarization,13773,302.38,45.55,,
2025-04-15 08:23:03,Summarization,0,0.0,0.0,,
2025-04-15 16:00:48,Embedding,1929,2.39,807.19,,
2025-04-15 16:00:52,Embedding,1552,4.21,368.32,,
2025-04-15 16:01:16,Embedding,5288,23.7,223.15,,
2025-04-15 16:02:03,Embedding,26321,47.39,555.43,,
2025-04-15 16:02:31,Embedding,13773,28.05,491.1,,
2025-04-15 16:04:38,Embedding,58126,126.94,457.89,,
2025-04-15 16:04:52,Embedding,4501,13.31,338.12,,
2025-04-15 16:04:52,Embedding,53,0.18,297.49,,
2025-04-15 16:04:55,Embedding,1581,3.12,506.29,,
2025-04-15 16:06:33,Embedding,56340,98.17,573.88,,
2025-04-15 16:06:53,Embedding,10074,19.71,511.13,,
2025-04-15 17:31:32,Translation,1929,0.83,2319.39,,
2025-04-15 17:31:32,Translation,1552,0.01,243175.31,,
2025-04-15 17:31:32,Translation,5288,0.02,268383.48,,
2025-04-15 17:31:32,Translation,26321,0.24,111341.22,,
2025-04-15 17:31:32,Translation,13773,0.14,101488.11,,
2025-04-15 17:31:33,Translation,58126,0.62,93532.95,,
2025-04-15 17:31:33,Translation,4501,0.01,354933.58,,
2025-04-15 17:31:33,Translation,53,0.02,2170.48,,
2025-04-15 17:31:33,Translation,1581,0.02,93019.79,,
2025-04-15 17:31:33,Translation,56340,0.63,89072.25,,
2025-04-15 17:31:34,Translation,10074,0.13,77570.63,,
2025-04-16 00:31:22,Summarization,1929,44.62,43.23,,
2025-04-16 00:31:22,Summarization,0,0.04,0.0,0.2913,0.2731
2025-04-16 00:31:28,Summarization,179,5.97,29.98,,
2025-04-16 00:42:24,Summarization,26321,656.11,40.12,,
2025-04-16 00:49:33,Summarization,13773,428.71,32.13,,
2025-04-16 01:20:15,Summarization,57601,1842.09,31.27,,
2025-04-16 01:20:16,Summarization,0,0.12,0.0,0.3275,0.3058
2025-04-16 01:20:16,Summarization,0,0.0,0.0,0.3275,0.3058
2025-04-16 01:21:02,Summarization,1581,46.15,34.25,,
2025-04-16 01:50:21,Summarization,55461,1759.32,31.52,,
2025-04-16 16:24:32,Embedding,1929,2.36,817.51,,
2025-04-16 16:24:36,Embedding,1552,4.45,348.68,,
2025-04-16 16:24:58,Embedding,5288,21.81,242.46,,
2025-04-16 16:25:42,Embedding,26321,44.08,597.07,,
2025-04-16 16:26:05,Embedding,13773,23.16,594.65,,
2025-04-16 16:27:47,Embedding,58126,101.36,573.44,,
2025-04-16 16:28:01,Embedding,4501,14.07,319.92,,
2025-04-16 16:28:01,Embedding,53,0.15,343.16,,
2025-04-16 16:28:04,Embedding,1581,3.15,502.02,,
2025-04-16 16:29:44,Embedding,56340,99.94,563.77,,
2025-04-16 16:30:04,Embedding,10074,20.16,499.58,,
2025-04-16 16:33:10,Translation,1929,0.73,2625.56,,
2025-04-16 16:33:10,Translation,1552,0.01,234511.13,,
2025-04-16 16:33:10,Translation,5288,0.01,360062.33,,
2025-04-16 16:33:10,Translation,26321,0.24,111080.09,,
2025-04-16 16:33:11,Translation,13773,0.13,108202.95,,
2025-04-16 16:33:11,Translation,58126,0.55,106580.13,,
2025-04-16 16:33:11,Translation,4501,0.01,486210.01,,
2025-04-16 16:33:11,Translation,53,0.01,4678.98,,
2025-04-16 16:33:11,Translation,1581,0.02,97444.48,,
2025-04-16 16:33:12,Translation,56340,0.48,117463.85,,
2025-04-16 16:33:12,Translation,10074,0.08,119883.16,,
2025-04-16 17:35:58,Summarization,1929,43.11,44.75,,
2025-04-16 17:35:58,Summarization,0,0.04,0.0,0.2913,0.2731
2025-04-16 17:36:05,Summarization,179,7.83,22.85,,
